Field,Value
phone@ctiid,161
phone@uuid,{293C33D4-22C6-19B7-C82E-EDB69D275015}
phone.name,TCT4695551212
phone.description,TCT Angela Billet
phone.product,Cisco Dual Mode for iPhone
phone.model,Cisco Dual Mode for iPhone
phone.class,Phone
phone.protocol,SIP
phone.protocolSide,User
phone.callingSearchSpaceName@uuid,{78E45910-E436-558B-4E42-45D70C9ADE63}
phone.callingSearchSpaceName,Route_LAS_CSS
phone.devicePoolName@uuid,{85A72653-7230-4A39-4471-6AAF078139FE}
phone.devicePoolName,T3_PAC_DP
phone.commonPhoneConfigName@uuid,{AC243D17-98B4-4118-8FEB-5FF2E1B781AC}
phone.commonPhoneConfigName,Standard Common Phone Profile
phone.networkLocation,Use System Default
phone.locationName@uuid,{29C5C1C4-8871-4D1E-8394-0B9181E8C54D}
phone.locationName,T3CTZ_LOC
phone.mediaResourceListName@uuid,{1F90D8AF-5A48-42AC-0A89-51D40CC0943E}
phone.mediaResourceListName,MRGL-LAS
phone.loadInformation@special,false
phone.vendorConfig.paramEditability,0
phone.vendorConfig.cuetLevel,1
phone.vendorConfig.cucmUseSipDigest,0
phone.vendorConfig.dialViaOffice,0
phone.vendorConfig.cucmUseVoiceDialing,1
phone.vendorConfig.cucmAddVoiceDialingNumberToFavorites,1
phone.vendorConfig.emEnabled,0
phone.vendorConfig.cucmGSMHandoffPreference,1
phone.vendorConfig.ldapUseLDAPUserAuthentication,0
phone.vendorConfig.ldapUseSSL,0
phone.vendorConfig.dialerEmergencyNumbers,"999,911,112"
phone.vendorConfig.Ringtone,0
phone.vendorConfig.videoCapability,1
phone.versionStamp,{1777584893-CA553B4F-CF38-41D5-908B-6DA4C37A3B6A}
phone.traceFlag,false
phone.mlppIndicationStatus,Off
phone.preemption,Disabled
phone.useTrustedRelayPoint,Default
phone.retryVideoCallAsAudio,true
phone.securityProfileName@uuid,{5CD3A1A0-98B9-4A97-ACB0-B7A50E5C5076}
phone.securityProfileName,Cisco Dual Mode for iPhone - Standard SIP Non-Secure Profile
phone.sipProfileName@uuid,{FCBC7581-4D8D-48F3-917E-00B09FB39213}
phone.sipProfileName,Standard SIP Profile
phone.useDevicePoolCgpnTransformCss,true
phone.sendGeoLocation,false
phone.lines.line@uuid,{E58D6EB0-211E-2657-280D-38772834A74D}
phone.lines.line.index,1
phone.lines.line.display,Angela Billet
phone.lines.line.dirn@uuid,{7C94D289-0D65-BD30-BFC0-B284A8860D10}
phone.lines.line.dirn.pattern,4695551212
phone.lines.line.dirn.routePartitionName@uuid,{80E2BB51-7F8E-A023-4ABD-8BCC9F0FB646}
phone.lines.line.dirn.routePartitionName,ENT_DEVICE_PT
phone.lines.line.ringSetting,Ring
phone.lines.line.consecutiveRingSetting,Use System Default
phone.lines.line.displayAscii,Angela Billet
phone.lines.line.e164Mask,4695551212
phone.lines.line.mwlPolicy,Use System Policy
phone.lines.line.maxNumCalls,2
phone.lines.line.busyTrigger,2
phone.lines.line.callInfoDisplay.callerName,true
phone.lines.line.callInfoDisplay.callerNumber,true
phone.lines.line.callInfoDisplay.redirectedNumber,true
